date,depth,variable,observation
2018-07-17,2,temperature,26.058539652777778
2018-07-17,3,temperature,19.491902361111112
2018-07-17,4,temperature,14.193460972222223
2018-07-17,5,temperature,11.512311597222222
2018-07-17,6,temperature,11.497053194444444
2018-07-17,7,temperature,11.4942
2018-07-17,8,temperature,11.483977222222222
2018-07-17,9,temperature,11.464969375
2018-07-17,1.6,temperature,NA
2018-07-18,0.1,temperature,28.2835975
2018-07-18,1,temperature,28.17743298611111
2018-07-18,2,temperature,26.637158194444446
2018-07-18,3,temperature,19.648501458333335
2018-07-18,4,temperature,14.240325694444444
2018-07-18,5,temperature,11.555905416666667
2018-07-18,6,temperature,11.522207777777778
2018-07-18,7,temperature,11.521201319444444
2018-07-18,8,temperature,11.508958125
2018-07-18,9,temperature,11.49035736111111
2018-07-18,1.6,temperature,NA
2018-07-19,0.1,temperature,27.676146805555554
2018-07-19,1,temperature,27.259673680555554
2018-07-19,2,temperature,26.480298055555554
2018-07-19,3,temperature,19.822401111111112
2018-07-19,4,temperature,14.317323541666667
2018-07-19,5,temperature,11.563870069444445
2018-07-19,6,temperature,11.551785347222221
2018-07-19,7,temperature,11.549015763888889
2018-07-19,8,temperature,11.539356319444444
2018-07-19,9,temperature,11.520331805555555
2018-07-19,1.6,temperature,NA
2018-07-20,0.1,temperature,27.004554583333334
2018-07-20,1,temperature,26.84872451388889
2018-07-20,2,temperature,26.13863347222222
2018-07-20,3,temperature,19.85437951388889
2018-07-20,4,temperature,14.37374638888889
2018-07-20,5,temperature,11.626310763888888
2018-07-20,6,temperature,11.603344652777778
2018-07-20,7,temperature,11.597684375
2018-07-20,8,temperature,11.585644444444444
2018-07-20,9,temperature,11.568123611111112
2018-07-20,1.6,temperature,NA
2018-07-21,0.1,temperature,26.71807201388889
2018-07-21,1,temperature,26.52858326388889
2018-07-21,2,temperature,26.071140833333335
2018-07-21,3,temperature,19.973861319444445
2018-07-21,4,temperature,14.383751319444444
2018-07-21,5,temperature,11.659652083333333
2018-07-21,6,temperature,11.650890694444444
2018-07-21,7,temperature,11.645610486111112
2018-07-21,8,temperature,11.633946111111111
2018-07-21,9,temperature,11.616737569444444
2018-07-21,1.6,temperature,NA
2018-07-22,0.1,temperature,26.130462916666666
2018-07-22,1,temperature,26.048538125
2018-07-22,2,temperature,25.599874930555554
2018-07-22,3,temperature,19.949389444444446
2018-07-22,4,temperature,14.431563333333333
2018-07-22,5,temperature,11.700623958333333
2018-07-22,6,temperature,11.695946041666666
2018-07-22,7,temperature,11.691165069444445
2018-07-22,8,temperature,11.679036041666667
2018-07-22,9,temperature,11.660896875
2018-07-22,1.6,temperature,NA
2018-07-23,0.1,temperature,25.63245277777778
2018-07-23,1,temperature,25.37694722222222
2018-07-23,2,temperature,25.21009972222222
2018-07-23,3,temperature,20.076519722222223
2018-07-23,4,temperature,14.439152569444444
2018-07-23,5,temperature,11.730636666666667
2018-07-23,6,temperature,11.734189166666667
2018-07-23,7,temperature,11.729975
2018-07-23,8,temperature,11.719180902777778
2018-07-23,9,temperature,11.70137486111111
2018-07-23,1.6,temperature,NA
2018-07-24,0.1,temperature,25.49362826388889
2018-07-24,1,temperature,25.212566041666665
2018-07-24,2,temperature,24.9484925
2018-07-24,3,temperature,20.149866041666666
2018-07-24,4,temperature,14.435684722222222
2018-07-24,5,temperature,11.759664305555555
2018-07-24,6,temperature,11.77220111111111
2018-07-24,7,temperature,11.76852986111111
2018-07-24,8,temperature,11.757280694444445
2018-07-24,9,temperature,11.73931798611111
2018-07-24,1.6,temperature,NA
2018-07-25,0.1,temperature,25.521850555555556
2018-07-25,1,temperature,25.25055409722222
2018-07-25,2,temperature,24.61931111111111
2018-07-25,3,temperature,20.17430347222222
2018-07-25,4,temperature,14.4559925
2018-07-25,5,temperature,11.802333055555556
2018-07-25,6,temperature,11.810179791666666
2018-07-25,7,temperature,11.807081736111112
2018-07-25,8,temperature,11.796402222222222
2018-07-25,9,temperature,11.777325138888889
2018-07-25,1.6,temperature,NA
2018-07-26,0.1,temperature,26.361955069444445
2018-07-26,1,temperature,25.061238888888887
2018-07-26,2,temperature,24.509806319444444
2018-07-26,3,temperature,20.193805416666667
2018-07-26,4,temperature,14.512072083333333
2018-07-26,5,temperature,11.836363402777778
2018-07-26,6,temperature,11.842558888888888
2018-07-26,7,temperature,11.839633194444444
2018-07-26,8,temperature,11.827423472222222
2018-07-26,9,temperature,11.811556875
2018-07-26,1.6,temperature,NA
2018-07-27,0.1,temperature,27.162409097222223
2018-07-27,1,temperature,25.695884375
2018-07-27,2,temperature,24.31057611111111
2018-07-27,3,temperature,20.24410152777778
2018-07-27,4,temperature,14.469194375
2018-07-27,5,temperature,11.868704652777778
2018-07-27,6,temperature,11.876317847222222
2018-07-27,7,temperature,11.873929027777777
2018-07-27,8,temperature,11.861665
2018-07-27,9,temperature,11.844519236111111
2018-07-27,1.6,temperature,NA
2018-07-28,0.1,temperature,27.283725208333333
2018-07-28,1,temperature,26.471187291666666
2018-07-28,2,temperature,24.319661666666665
2018-07-28,3,temperature,20.207163055555554
2018-07-28,4,temperature,14.503128402777778
2018-07-28,5,temperature,11.901366666666666
2018-07-28,6,temperature,11.909561666666667
2018-07-28,7,temperature,11.908615416666667
2018-07-28,8,temperature,11.895836041666666
2018-07-28,9,temperature,11.879842916666666
2018-07-28,1.6,temperature,NA
2018-07-29,0.1,temperature,26.606380138888888
2018-07-29,1,temperature,25.94536576388889
2018-07-29,2,temperature,24.341568194444445
2018-07-29,3,temperature,20.296739930555557
2018-07-29,4,temperature,14.496862222222223
2018-07-29,5,temperature,11.93495361111111
2018-07-29,6,temperature,11.941600902777777
2018-07-29,7,temperature,11.93900451388889
2018-07-29,8,temperature,11.9287075
2018-07-29,9,temperature,11.909320416666667
2018-07-29,1.6,temperature,NA
2018-07-30,0.1,temperature,26.350298402777778
